Date,Product_Name,Category,Region,Sales_Revenue,Inventory_Level,Reorder_Point,Quantity_Sold,Year,Month,DayOfWeek,Revenue_to_Inventory,Reorder_Gap
2024-02-20,Keyboard,Accessories,East,29000,190,80,22,2024,2,Tuesday,152.6315789473684,58
2024-02-19,Phone,Electronics,South,132000,63,25,5,2024,2,Monday,2095.2380952380954,20
2024-02-18,Laptop,Electronics,North,160000,46,20,3,2024,2,Sunday,3478.2608695652175,17
2024-02-17,Soundbar,Electronics,West,45000,52,20,4,2024,2,Saturday,865.3846153846154,16
2024-02-16,Smart TV,Electronics,East,180000,18,10,2,2024,2,Friday,10000.0,8
2024-02-15,Scanner,Electronics,South,40000,48,20,4,2024,2,Thursday,833.3333333333334,16
2024-02-14,Projector,Electronics,North,98000,22,15,2,2024,2,Wednesday,4454.545454545455,13
2024-02-13,Memory Card,Storage,West,16000,185,60,21,2024,2,Tuesday,86.48648648648648,39
2024-02-12,USB Drive,Storage,East,14000,215,70,26,2024,2,Monday,65.11627906976744,44
2024-02-11,Power Bank,Accessories,South,23000,155,50,19,2024,2,Sunday,148.38709677419354,31
2024-02-10,Fitness Band,Wearables,North,20000,135,45,15,2024,2,Saturday,148.14814814814815,30
2024-02-09,Smart Watch,Wearables,West,53000,70,25,7,2024,2,Friday,757.1428571428571,18
2024-02-08,Gaming Keyboard,Accessories,East,37000,82,30,10,2024,2,Thursday,451.219512195122,20
2024-02-07,Gaming Mouse,Accessories,South,28000,92,35,12,2024,2,Wednesday,304.3478260869565,23
2024-02-06,Microphone,Accessories,North,26000,78,30,8,2024,2,Tuesday,333.3333333333333,22
2024-02-05,Webcam,Accessories,West,19000,125,40,10,2024,2,Monday,152.0,30
2024-02-04,HDD,Storage,East,30000,145,50,16,2024,2,Sunday,206.89655172413794,34
2024-02-03,SSD,Storage,South,43000,105,40,13,2024,2,Saturday,409.5238095238095,27
2024-02-02,Router,Networking,North,32000,88,30,9,2024,2,Friday,363.6363636363636,21
2024-02-01,Speaker,Accessories,West,24000,115,50,11,2024,2,Thursday,208.69565217391303,39
2024-01-31,Printer,Electronics,East,47000,33,15,3,2024,1,Wednesday,1424.2424242424242,12
2024-01-30,Tablet,Electronics,South,88000,42,20,5,2024,1,Tuesday,2095.2380952380954,15
2024-01-29,Monitor,Electronics,North,70000,58,20,4,2024,1,Monday,1206.896551724138,16
2024-01-28,Mouse,Accessories,West,20000,175,60,24,2024,1,Sunday,114.28571428571429,36
2024-01-27,Keyboard,Accessories,East,27000,195,80,21,2024,1,Saturday,138.46153846153845,59
2024-01-26,Phone,Electronics,South,128000,65,25,5,2024,1,Friday,1969.2307692307693,20
2024-01-25,Laptop,Electronics,North,155000,48,20,3,2024,1,Thursday,3229.1666666666665,17
2024-01-24,Soundbar,Electronics,West,42000,55,20,4,2024,1,Wednesday,763.6363636363636,16
2024-01-23,Smart TV,Electronics,East,175000,20,10,2,2024,1,Tuesday,8750.0,8
2024-01-22,Scanner,Electronics,South,38000,50,20,4,2024,1,Monday,760.0,16
2024-01-21,Projector,Electronics,North,95000,25,15,2,2024,1,Sunday,3800.0,13
2024-01-20,Memory Card,Storage,West,14000,190,60,20,2024,1,Saturday,73.6842105263158,40
2024-01-19,USB Drive,Storage,East,12000,220,70,25,2024,1,Friday,54.54545454545455,45
2024-01-18,Power Bank,Accessories,South,21000,160,50,18,2024,1,Thursday,131.25,32
2024-01-17,Fitness Band,Wearables,North,18000,140,45,14,2024,1,Wednesday,128.57142857142858,31
2024-01-16,Smart Watch,Wearables,West,50000,75,25,6,2024,1,Tuesday,666.6666666666666,19
2024-01-15,Gaming Keyboard,Accessories,East,35000,85,30,9,2024,1,Monday,411.7647058823529,21
2024-01-14,Gaming Mouse,Accessories,South,26000,95,35,11,2024,1,Sunday,273.6842105263158,24
2024-01-13,Microphone,Accessories,North,24000,80,30,7,2024,1,Saturday,300.0,23
2024-01-12,Webcam,Accessories,West,17000,130,40,9,2024,1,Friday,130.76923076923077,31
2024-01-11,HDD,Storage,East,28000,150,50,15,2024,1,Thursday,186.66666666666666,35
2024-01-10,SSD,Storage,South,40000,110,40,12,2024,1,Wednesday,363.6363636363636,28
2024-01-09,Router,Networking,North,30000,90,30,8,2024,1,Tuesday,333.3333333333333,22
2024-01-08,Speaker,Accessories,West,22000,120,50,10,2024,1,Monday,183.33333333333334,40
2024-01-07,Printer,Electronics,East,45000,35,15,3,2024,1,Sunday,1285.7142857142858,12
2024-01-06,Tablet,Electronics,South,85000,45,20,5,2024,1,Saturday,1888.888888888889,15
2024-01-05,Monitor,Electronics,North,65000,60,20,4,2024,1,Friday,1083.3333333333333,16
2024-01-04,Mouse,Accessories,West,18000,180,60,25,2024,1,Thursday,100.0,35
2024-01-03,Keyboard,Accessories,East,25000,200,80,20,2024,1,Wednesday,125.0,60
2024-01-02,Phone,Electronics,South,120000,70,25,5,2024,1,Tuesday,1714.2857142857142,20
2024-01-01,Laptop,Electronics,North,150000,50,20,3,2024,1,Monday,3000.0,17
